"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,0.2684564,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,0.6016043,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,0.6028131,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,0.334672,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,0.3012048,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,0.1328904,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,0.1664447,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,0.4002669,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,0.9676343,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,0.8294625,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,1.528747,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,1.262458,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,0.5948447,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,0.9871668,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,0.883797,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,0.7874016,,
