short,long,projects
CNY,Chinese Yuan Renminbi,3525
USD,United States Dollar,772
EUR,Euro,583
JPY,Japanese Yen,339
INR,Indian Rupee,118
Other,South Korean Won,114
Other,Australian Dollar,74
Other,Brazilian Real,63
Other,Russian Ruble,40
GBP,United Kingdom Pound,40
Other,Czech Koruna,34
Other,Canadian Dollar,33
Other,Thai Baht,31
Other,Philippine Peso,14
Other,South African Rand,12
Other,Vietnamese Dong,11
Other,Israeli New Shekel,10
Other,Taiwan New Dollar,7
Other,Bulgarian Lev,6
Other,Malaysian Ringgit,6
Other,Ghanaian Cedi,5
Other,Egyptian Pound,3
Other,Jordanian Dinar,3
Other,Kazakhstani Tenge,3
Other,Namibian Dollar,3
Other,Nigerian Naira,3
Other,Singapore Dollar,3
Other,Swiss Franc,3
Other,United Arab Emirates Dirham,3
Other,Argentine Peso,2
Other,Dominican Peso,2
Other,Kenyan Shilling,2
Other,Mexican Peso,2
Other,Afghanistan Afghani,1
Other,Barbados Dollar,1
Other,Belize Dollar,1
Other,Djibouti Franc,1
Other,Honduran Lempira,1
Other,Hong Kong Dollar,1
Other,Indonesian Rupiah,1
Other,Kuwaiti Dinar,1
Other,Malawi Kwacha,1
Other,Mauritanian Ouguiya,1
Other,Moroccan Dirham,1
Other,Mozambican Metical,1
Other,Pakistani Rupee,1
Other,Rwandan Franc,1
Other,Saudi Arabian Riyal,1
Other,Sierra Leone Leone,1
Other,Swaziland Lilangeni,1
Other,Turkey New Lira,1
Other,Ugandan Shilling,1
